Age,Date
37.0,1969
37.0,1972
32.0,1974
31.0,1975
31.77777777777778,1976
30.5,1977
29.22222222222222,1978
27.866666666666667,1979
27.333333333333332,1980
27.071428571428573,1981
26.5,1982
27.5,1983
28.822580645161292,1984
29.0625,1985
26.2,1986
27.75,1987
27.375,1988
26.08695652173913,1989
27.166666666666668,1990
27.761904761904763,1991
26.74074074074074,1992
27.38888888888889,1993
27.393939393939394,1994
27.296296296296298,1995
27.78494623655914,1996
27.045454545454547,1997
27.78181818181818,1998
25.486486486486488,1999
26.125,2000
26.266666666666666,2001
25.652173913043477,2002
26.267241379310345,2003
24.68421052631579,2004
26.16216216216216,2005
27.208333333333332,2006
25.029411764705884,2007
25.666666666666668,2008
26.14814814814815,2009
24.565217391304348,2010
24.970588235294116,2011
24.263157894736842,2012
23.9,2013
23.0,2014
21.25,2015
23.0,2016
